"family","source","rank_in_source","model_name","status","r2","mse","rmse","feature_count","code_lines","generated_notebook","generated_notebook_exists","executed_notebook","executed_notebook_exists","log_file","source_csv"
"nvidia","archived_platforms","25","marin_marin-8b-instruct","OK","-0.010685","0.796385","0.892404","80","42","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\marin_marin-8b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_marin_marin-8b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","26","mediatek_breeze-7b-instruct","OK","-0.010685","0.796385","0.892404","80","29","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\mediatek_breeze-7b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_mediatek_breeze-7b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","27","meta_llama-3.1-405b-instruct","OK","-0.010685","0.796385","0.892404","80","29","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\meta_llama-3.1-405b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_meta_llama-3.1-405b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","28","meta_llama-3.1-70b-instruct","OK","-0.010685","0.796385","0.892404","80","22","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\meta_llama-3.1-70b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_meta_llama-3.1-70b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","29","meta_llama-3.3-70b-instruct","OK","-0.010685","0.796385","0.892404","80","28","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\meta_llama-3.3-70b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_meta_llama-3.3-70b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","30","meta_llama-4-maverick-17b-128e-instruct","OK","-0.010685","0.796385","0.892404","80","33","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\meta_llama-4-maverick-17b-128e-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_meta_llama-4-maverick-17b-128e-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","31","meta_llama3-70b-instruct","OK","-0.010685","0.796385","0.892404","80","20","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\meta_llama3-70b-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_meta_llama3-70b-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","32","microsoft_phi-3-medium-4k-instruct","OK","-0.010685","0.796385","0.892404","80","40","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\microsoft_phi-3-medium-4k-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_microsoft_phi-3-medium-4k-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","33","microsoft_phi-3-mini-128k-instruct","OK","-0.010685","0.796385","0.892404","80","51","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\microsoft_phi-3-mini-128k-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_microsoft_phi-3-mini-128k-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","34","microsoft_phi-3-mini-4k-instruct","OK","-0.010685","0.796385","0.892404","80","43","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\microsoft_phi-3-mini-4k-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_microsoft_phi-3-mini-4k-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","35","microsoft_phi-3-small-128k-instruct","OK","-0.010685","0.796385","0.892404","80","32","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\microsoft_phi-3-small-128k-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_microsoft_phi-3-small-128k-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","36","microsoft_phi-3.5-mini-instruct","OK","-0.010685","0.796385","0.892404","80","35","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\microsoft_phi-3.5-mini-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_microsoft_phi-3.5-mini-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
"nvidia","archived_platforms","37","microsoft_phi-4-multimodal-instruct","OK","-0.010685","0.796385","0.892404","80","35","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\generated_notebooks\microsoft_phi-4-multimodal-instruct.ipynb","True","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\platforms\nvidia\executed_notebooks\ERROR_microsoft_phi-4-multimodal-instruct.ipynb","True","","C:\Users\Administrator\Documents\Jane-Steet-Quant_wars\Jane-Street-Quant-Wars-master\Jane-Street-Quant-Wars-master\leaderboard.csv"
