Model Name,Publisher,Type,Primary Use Case,Downloads,Description
llama-3.1-nemotron-nano-vl-8b-v1,NVIDIA,Downloadable,doc intelligence,9.39M,Multi-modal vision-language model that understands text/img.
llama-3.1-nemotron-safety-guard-8b-v3,NVIDIA,Free Endpoint,content moderation,605K,Leading multilingual content safety model for enhancing safety and moderation capabilities.
llama-3.1-nemotron-ultra-253b-v1,NVIDIA,Downloadable,math,8.18M,Superior inference efficiency with highest accuracy for scientific and complex math reasoning.
llama-3.1-swallow-70b-instruct-v0.1,Institute of Science Tokyo,Downloadable,Sovereign AI,529K,Sovereign AI model trained on Japanese language that understands regional nuances.
llama-3.1-swallow-8b-instruct-v0.1,Institute of Science Tokyo,Downloadable,Sovereign AI,537K,Sovereign AI model trained on Japanese language that understands regional nuances.
llama-3.2-11b-vision-instruct,Meta,Downloadable,Image-Text Retrieval,866K,Cutting-edge vision-language model exceling in high-quality reasoning from images.
llama-3.2-1b-instruct,Meta,Downloadable,chat,326K,Advanced state-of-the-art small language model with language understanding and superior reasoning.
llama-3.2-3b-instruct,Meta,Downloadable,Chat,769K,Advanced state-of-the-art small language model with language understanding and superior reasoning.
llama-3.2-90b-vision-instruct,Meta,Downloadable,Image-Text Retrieval,608K,Cutting-edge vision-Language model exceling in high-quality reasoning from images.
llama-3.2-nemoretriever-1b-vlm-embed-v1,NVIDIA,Downloadable,nemo retriever,259K,Multimodal question-answer retrieval representing user queries as text and documents as images.
llama-3.2-nemoretriever-500m-rerank-v2,NVIDIA,Downloadable,nemo retriever,1.42K,GPU-accelerated model optimized for providing a probability score for question-answering.
llama-3.2-nv-embedqa-1b-v2,NVIDIA,Downloadable,nemo retriever,6.15M,Multilingual and cross-lingual text question-answering retrieval with long context support.
llama-3.2-nv-rerankqa-1b-v2,NVIDIA,Downloadable,nemo retriever,148K,"Fine-tuned reranking model for multilingual, cross-lingual text question-answering retrieval."
llama-3.3-70b-instruct,Meta,Downloadable,Instruction following,19.27M,"Advanced LLM for reasoning, math, general knowledge, and function calling."
llama-3.3-nemotron-super-49b-v1,NVIDIA,Downloadable,math,1.14M,"High efficiency model with leading accuracy for reasoning, tool calling, chat, and instruction following."
llama-3.3-nemotron-super-49b-v1.5,NVIDIA,Downloadable,math,5.13M,"High efficiency model with leading accuracy for reasoning, tool calling, chat, and instruction following."
llama-3_2-nemoretriever-300m-embed-v1,NVIDIA,Free Endpoint,Text-to-Embedding,89.14K,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages."
llama-3_2-nemoretriever-300m-embed-v2,NVIDIA,Downloadable,Text-to-Embedding,89.45K,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages."
llama-4-maverick-17b-128e-instruct,Meta,Free Endpoint,language generation,3.34M,"A general purpose multimodal, multilingual 128 MoE model with 17B parameters."
llama-4-scout-17b-16e-instruct,Meta,Both,language generation,79.24K,"A multimodal, multilingual 16 MoE model with 17B parameters."
llama-guard-4-12b,Meta,Free Endpoint,LLM Multimodal Safety,498K,Multi-modal model to classify safety for input prompts as well output responses.
llama-nemotron-embed-1b-v2,NVIDIA,Downloadable,Text-to-Embedding,481K,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages."
llama-nemotron-embed-vl-1b-v2,NVIDIA,Downloadable,nemo retriever,1.21M,Multimodal question-answer retrieval representing user queries as text and documents as images.
llama-nemotron-rerank-1b-v2,NVIDIA,Downloadable,nemo retriever,4.92K,GPU-accelerated model optimized for providing a probability score for question-answering.
llama3-70b-instruct,Meta,Downloadable,Large Language models,861K,"Powers complex conversations with superior contextual understanding, reasoning and text generation."
llama3-8b-instruct,Meta,Downloadable,Chat,1.12M,"Advanced state-of-the-art LLM with language understanding, superior reasoning, and text generation."
llama3-chatqa-1.5-8b,NVIDIA,Free Endpoint,text-to-text,562K,Advanced LLM to generate high-quality context-aware responses for chatbots and search engines.
magistral-small-2506,Mistral AI,Free Endpoint,coding,4.37M,High performance reasoning model optimized for efficiency and edge deployment.
magpie-tts-flow,NVIDIA,Free Endpoint,TTS,653,Expressive and engaging text-to-speech generated from a short audio sample.
magpie-tts-multilingual,NVIDIA,Downloadable,TTS,29.81K,Natural and expressive voices in multiple languages. For voice agents and brand ambassadors.
magpie-tts-zeroshot,NVIDIA,Free Endpoint,TTS,1.19K,Expressive and engaging text-to-speech generated from a short audio sample.
maisi,NVIDIA,Downloadable,Image Generation,706,MAISI is a pre-trained volumetric (3D) CT Latent Diffusion Generative Model.
mamba-codestral-7b-v0.1,Mistral AI,Free Endpoint,code completion,555K,Model for writing and interacting with code across a wide range of programming languages.
marin-8b-instruct,Marin,Free Endpoint,Reasoning,541K,"State-of-the-art open model trained on open datasets, excelling in reasoning, math, and science."
megatron-1b-nmt,NVIDIA,Downloadable,Neural machine translation,,Enable smooth global interactions in 36 languages.
minimax-m2.1,Minimaxai,Free Endpoint,Agentic,7.54M,"MiniMax M2.1 excels in multi-language coding, app/web dev, office AI, and agent integration."
minimax-m2.5,Minimaxai,Downloadable,reasoning,5.38M,MiniMax M2.5 is a 230B-parameter text-to-text AI model excelling in coding, reasoning, and office tasks.
ministral-14b-instruct-2512,Mistral AI,Downloadable,language generation,4.73M,A general purpose VLM ideal for chat and instruction based use cases.
mistral-7b-instruct-v0.2,Mistral AI,Free Endpoint,Text-to-Text,560K,"This LLM follows instructions, completes requests, and generates creative text."
mistral-7b-instruct-v0.3,Mistral AI,Downloadable,Chat,867K,"This LLM follows instructions, completes requests, and generates creative text."
